weight,n_estimators,max_depth,learning_rate,gamma,train_acc,val_acc
0.2,100,10,1,0,1.0,0.8572751322751323
0.5,100,10,1,0,1.0,0.8578042328042328
0.8,100,10,1,0,1.0,0.856084656084656
0.2,60,10,1,0,1.0,0.8560846560846562
0.5,60,10,1,0,1.0,0.8531084656084656
0.8,60,10,1,0,1.0,0.8556878306878307
0.2,30,10,1,0,1.0,0.850132275132275
0.5,30,10,1,0,1.0,0.850462962962963
0.8,30,10,1,0,1.0,0.8519179894179894
0.2,12,10,1,0,0.9990410052910054,0.8334656084656086
0.5,12,10,1,0,0.9986607142857142,0.8374338624338625
0.8,12,10,1,0,0.9984457671957673,0.8328042328042328
0.2,5,10,1,0,0.958912037037037,0.8214285714285714
0.5,5,10,1,0,0.9584160052910053,0.8152777777777777
0.8,5,10,1,0,0.9587301587301587,0.8157407407407409
0.2,100,7,1,0,1.0,0.8537698412698413
0.5,100,7,1,0,1.0,0.8574074074074074
0.8,100,7,1,0,1.0,0.8541005291005291
0.2,60,7,1,0,1.0,0.8541666666666666
0.5,60,7,1,0,1.0,0.8502645502645503
0.8,60,7,1,0,1.0,0.851388888888889
0.2,30,7,1,0,0.999834656084656,0.8474206349206348
0.5,30,7,1,0,0.9999007936507937,0.845568783068783
0.8,30,7,1,0,0.9999007936507937,0.8433862433862434
0.2,12,7,1,0,0.954861111111111,0.8221560846560847
0.5,12,7,1,0,0.9555886243386243,0.8235449735449736
0.8,12,7,1,0,0.9583994708994709,0.8251984126984127
0.2,5,7,1,0,0.8808697089947088,0.7944444444444445
0.5,5,7,1,0,0.8864087301587302,0.798611111111111
0.8,5,7,1,0,0.8815310846560847,0.7941798941798941
0.2,100,4,1,0,0.9991732804232804,0.8400132275132275
0.5,100,4,1,0,0.9989252645502644,0.8421296296296296
0.8,100,4,1,0,0.9989914021164022,0.8453042328042327
0.2,60,4,1,0,0.9826223544973546,0.8347883597883599
0.5,60,4,1,0,0.9818617724867726,0.8332671957671959
0.8,60,4,1,0,0.981415343915344,0.8328703703703704
0.2,30,4,1,0,0.9248511904761905,0.8178571428571427
0.5,30,4,1,0,0.9251157407407409,0.8158730158730159
0.8,30,4,1,0,0.9226521164021163,0.8162037037037037
0.2,12,4,1,0,0.8370039682539682,0.7795634920634921
0.5,12,4,1,0,0.8395006613756614,0.7843915343915344
0.8,12,4,1,0,0.8361607142857143,0.7812169312169311
0.2,5,4,1,0,0.7718253968253969,0.741468253968254
0.5,5,4,1,0,0.7685681216931217,0.7382936507936508
0.8,5,4,1,0,0.7680224867724867,0.7389550264550264
0.2,100,2,1,0,0.8801256613756614,0.8005291005291004
0.5,100,2,1,0,0.8818121693121693,0.8031746031746032
0.8,100,2,1,0,0.880109126984127,0.7984126984126985
0.2,60,2,1,0,0.8452380952380952,0.7858465608465609
0.5,60,2,1,0,0.843369708994709,0.7837301587301587
0.8,60,2,1,0,0.843667328042328,0.7846560846560846
0.2,30,2,1,0,0.7988756613756614,0.762037037037037
0.5,30,2,1,0,0.7984788359788361,0.7600529100529101
0.8,30,2,1,0,0.7978339947089947,0.7590608465608466
0.2,12,2,1,0,0.7473710317460317,0.7281084656084656
0.5,12,2,1,0,0.7496362433862435,0.7310185185185185
0.8,12,2,1,0,0.7473048941798941,0.7277777777777776
0.2,5,2,1,0,0.7030919312169311,0.6916666666666667
0.5,5,2,1,0,0.7032242063492063,0.6937169312169312
0.8,5,2,1,0,0.7028935185185186,0.6908068783068784
0.2,100,10,0.1,0,0.9909722222222221,0.8535714285714284
0.5,100,10,0.1,0,0.9913525132275133,0.8529761904761906
0.8,100,10,0.1,0,0.9911871693121693,0.8524470899470901
0.2,60,10,0.1,0,0.9744708994708995,0.8458994708994709
0.5,60,10,0.1,0,0.975,0.8480158730158729
0.8,60,10,0.1,0,0.9743386243386244,0.8437830687830689
0.2,30,10,0.1,0,0.9521825396825397,0.8347222222222221
0.5,30,10,0.1,0,0.9514880952380953,0.8352513227513227
0.8,30,10,0.1,0,0.9517691798941799,0.8312830687830687
0.2,12,10,0.1,0,0.9237929894179894,0.8205687830687831
0.5,12,10,0.1,0,0.9231977513227514,0.8200396825396826
